:Data_list: 20100414_Gs_mag_1m.txt
:Created: 2010 Apr 15 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-11
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-11 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2010 04 14  0016   55300    960     1.12e+02    1.36e+01    1.63e+01    1.14e+02
2010 04 14  0017   55300   1020     1.12e+02    1.37e+01    1.64e+01    1.14e+02
2010 04 14  0018   55300   1080     1.12e+02    1.37e+01    1.64e+01    1.14e+02
2010 04 14  0019   55300   1140     1.12e+02    1.37e+01    1.64e+01    1.14e+02
2010 04 14  0020   55300   1200     1.12e+02    1.36e+01    1.63e+01    1.14e+02
2010 04 14  0021   55300   1260     1.11e+02    1.37e+01    1.64e+01    1.13e+02
2010 04 14  0022   55300   1320     1.11e+02    1.38e+01    1.64e+01    1.13e+02
2010 04 14  0023   55300   1380     1.11e+02    1.38e+01    1.63e+01    1.13e+02
2010 04 14  0024   55300   1440     1.11e+02    1.38e+01    1.63e+01    1.13e+02
2010 04 14  0025   55300   1500     1.10e+02    1.37e+01    1.62e+01    1.12e+02
2010 04 14  0026   55300   1560     1.10e+02    1.36e+01    1.62e+01    1.12e+02
2010 04 14  0027   55300   1620     1.10e+02    1.35e+01    1.62e+01    1.12e+02
2010 04 14  0028   55300   1680     1.10e+02    1.35e+01    1.62e+01    1.12e+02
2010 04 14  0029   55300   1740     1.10e+02    1.35e+01    1.62e+01    1.12e+02
2010 04 14  0030   55300   1800     1.10e+02    1.34e+01    1.62e+01    1.12e+02
2010 04 14  0031   55300   1860     1.10e+02    1.33e+01    1.62e+01    1.12e+02
2010 04 14  0032   55300   1920     1.10e+02    1.34e+01    1.62e+01    1.12e+02
2010 04 14  0033   55300   1980     1.10e+02    1.35e+01    1.63e+01    1.12e+02
2010 04 14  0034   55300   2040     1.09e+02    1.35e+01    1.63e+01    1.11e+02
2010 04 14  0035   55300   2100     1.09e+02    1.35e+01    1.63e+01    1.11e+02
2010 04 14  0036   55300   2160     1.09e+02    1.36e+01    1.63e+01    1.11e+02
2010 04 14  0037   55300   2220     1.09e+02    1.36e+01    1.63e+01    1.11e+02
2010 04 14  0038   55300   2280     1.09e+02    1.37e+01    1.62e+01    1.11e+02
2010 04 14  0039   55300   2340     1.09e+02    1.36e+01    1.62e+01    1.11e+02
2010 04 14  0040   55300   2400     1.09e+02    1.36e+01    1.62e+01    1.11e+02
2010 04 14  0041   55300   2460     1.08e+02    1.36e+01    1.63e+01    1.10e+02
2010 04 14  0042   55300   2520     1.08e+02    1.36e+01    1.63e+01    1.10e+02
2010 04 14  0043   55300   2580     1.08e+02    1.37e+01    1.63e+01    1.10e+02
2010 04 14  0044   55300   2640     1.08e+02    1.38e+01    1.62e+01    1.10e+02
2010 04 14  0045   55300   2700     1.08e+02    1.39e+01    1.63e+01    1.10e+02
2010 04 14  0046   55300   2760     1.08e+02    1.39e+01    1.63e+01    1.10e+02
2010 04 14  0047   55300   2820     1.08e+02    1.39e+01    1.63e+01    1.10e+02
2010 04 14  0048   55300   2880     1.08e+02    1.39e+01    1.63e+01    1.10e+02
2010 04 14  0049   55300   2940     1.08e+02    1.40e+01    1.63e+01    1.10e+02
2010 04 14  0050   55300   3000     1.07e+02    1.41e+01    1.62e+01    1.10e+02
2010 04 14  0051   55300   3060     1.07e+02    1.42e+01    1.62e+01    1.09e+02
2010 04 14  0052   55300   3120     1.07e+02    1.42e+01    1.62e+01    1.09e+02
2010 04 14  0053   55300   3180     1.07e+02    1.41e+01    1.61e+01    1.09e+02
2010 04 14  0054   55300   3240     1.07e+02    1.40e+01    1.60e+01    1.09e+02
2010 04 14  0055   55300   3300     1.07e+02    1.41e+01    1.59e+01    1.09e+02
2010 04 14  0056   55300   3360     1.07e+02    1.40e+01    1.58e+01    1.09e+02
2010 04 14  0057   55300   3420     1.07e+02    1.39e+01    1.58e+01    1.09e+02
2010 04 14  0058   55300   3480     1.07e+02    1.39e+01    1.59e+01    1.09e+02
2010 04 14  0059   55300   3540     1.07e+02    1.40e+01    1.59e+01    1.09e+02
2010 04 14  0100   55300   3600     1.07e+02    1.38e+01    1.57e+01    1.09e+02
2010 04 14  0101   55300   3660     1.07e+02    1.39e+01    1.57e+01    1.09e+02
2010 04 14  0102   55300   3720     1.06e+02    1.40e+01    1.57e+01    1.09e+02
2010 04 14  0103   55300   3780     1.06e+02    1.40e+01    1.57e+01    1.08e+02
2010 04 14  0104   55300   3840     1.06e+02    1.41e+01    1.58e+01    1.09e+02
2010 04 14  0105   55300   3900     1.07e+02    1.41e+01    1.58e+01    1.09e+02
2010 04 14  0106   55300   3960     1.06e+02    1.44e+01    1.58e+01    1.09e+02
2010 04 14  0107   55300   4020     1.06e+02    1.44e+01    1.58e+01    1.08e+02
2010 04 14  0108   55300   4080     1.06e+02    1.45e+01    1.57e+01    1.08e+02
2010 04 14  0109   55300   4140     1.06e+02    1.45e+01    1.57e+01    1.08e+02
2010 04 14  0110   55300   4200     1.06e+02    1.45e+01    1.56e+01    1.08e+02
2010 04 14  0111   55300   4260     1.06e+02    1.46e+01    1.55e+01    1.08e+02
2010 04 14  0112   55300   4320     1.05e+02    1.47e+01    1.56e+01    1.08e+02
2010 04 14  0113   55300   4380     1.05e+02    1.48e+01    1.55e+01    1.07e+02
2010 04 14  0114   55300   4440     1.05e+02    1.49e+01    1.55e+01    1.07e+02
2010 04 14  0115   55300   4500     1.05e+02    1.48e+01    1.54e+01    1.07e+02
2010 04 14  0116   55300   4560     1.05e+02    1.49e+01    1.53e+01    1.07e+02
2010 04 14  0117   55300   4620     1.05e+02    1.48e+01    1.53e+01    1.07e+02
2010 04 14  0118   55300   4680     1.05e+02    1.47e+01    1.52e+01    1.07e+02
2010 04 14  0119   55300   4740     1.05e+02    1.47e+01    1.52e+01    1.07e+02
2010 04 14  0120   55300   4800     1.05e+02    1.47e+01    1.51e+01    1.07e+02
2010 04 14  0121   55300   4860     1.05e+02    1.47e+01    1.52e+01    1.07e+02
2010 04 14  0122   55300   4920     1.05e+02    1.47e+01    1.52e+01    1.07e+02
2010 04 14  0123   55300   4980     1.05e+02    1.47e+01    1.51e+01    1.07e+02
2010 04 14  0124   55300   5040     1.05e+02    1.47e+01    1.52e+01    1.07e+02
2010 04 14  0125   55300   5100     1.05e+02    1.46e+01    1.52e+01    1.07e+02
2010 04 14  0126   55300   5160     1.05e+02    1.46e+01    1.54e+01    1.07e+02
2010 04 14  0127   55300   5220     1.05e+02    1.45e+01    1.54e+01    1.07e+02
2010 04 14  0128   55300   5280     1.05e+02    1.45e+01    1.54e+01    1.07e+02
2010 04 14  0129   55300   5340     1.05e+02    1.45e+01    1.54e+01    1.07e+02
2010 04 14  0130   55300   5400     1.05e+02    1.44e+01    1.53e+01    1.07e+02
2010 04 14  0131   55300   5460     1.05e+02    1.44e+01    1.54e+01    1.07e+02
2010 04 14  0132   55300   5520     1.05e+02    1.45e+01    1.54e+01    1.07e+02
2010 04 14  0133   55300   5580     1.05e+02    1.45e+01    1.55e+01    1.07e+02
2010 04 14  0134   55300   5640     1.05e+02    1.45e+01    1.54e+01    1.07e+02
2010 04 14  0135   55300   5700     1.05e+02    1.45e+01    1.54e+01    1.07e+02
2010 04 14  0136   55300   5760     1.05e+02    1.45e+01    1.54e+01    1.07e+02
2010 04 14  0137   55300   5820     1.05e+02    1.43e+01    1.54e+01    1.07e+02
2010 04 14  0138   55300   5880     1.05e+02    1.43e+01    1.54e+01    1.07e+02
2010 04 14  0139   55300   5940     1.05e+02    1.43e+01    1.53e+01    1.07e+02
2010 04 14  0140   55300   6000     1.05e+02    1.43e+01    1.53e+01    1.07e+02
2010 04 14  0141   55300   6060     1.05e+02    1.44e+01    1.54e+01    1.07e+02
2010 04 14  0142   55300   6120     1.05e+02    1.45e+01    1.56e+01    1.07e+02
2010 04 14  0143   55300   6180     1.05e+02    1.46e+01    1.55e+01    1.07e+02
2010 04 14  0144   55300   6240     1.04e+02    1.48e+01    1.57e+01    1.07e+02
2010 04 14  0145   55300   6300     1.04e+02    1.50e+01    1.56e+01    1.06e+02
2010 04 14  0146   55300   6360     1.04e+02    1.50e+01    1.55e+01    1.06e+02
2010 04 14  0147   55300   6420     1.04e+02    1.51e+01    1.54e+01    1.06e+02
2010 04 14  0148   55300   6480     1.03e+02    1.52e+01    1.53e+01    1.06e+02
2010 04 14  0149   55300   6540     1.03e+02    1.53e+01    1.53e+01    1.05e+02
2010 04 14  0150   55300   6600     1.03e+02    1.55e+01    1.53e+01    1.05e+02
2010 04 14  0151   55300   6660     1.03e+02    1.55e+01    1.51e+01    1.05e+02
2010 04 14  0152   55300   6720     1.03e+02    1.57e+01    1.50e+01    1.05e+02
2010 04 14  0153   55300   6780     1.02e+02    1.57e+01    1.49e+01    1.05e+02
2010 04 14  0154   55300   6840     1.03e+02    1.57e+01    1.48e+01    1.05e+02
2010 04 14  0155   55300   6900     1.03e+02    1.58e+01    1.48e+01    1.05e+02
2010 04 14  0156   55300   6960     1.03e+02    1.58e+01    1.47e+01    1.05e+02
2010 04 14  0157   55300   7020     1.03e+02    1.58e+01    1.47e+01    1.05e+02
2010 04 14  0158   55300   7080     1.03e+02    1.59e+01    1.48e+01    1.05e+02
2010 04 14  0159   55300   7140     1.03e+02    1.59e+01    1.48e+01    1.05e+02
2010 04 14  0200   55300   7200     1.03e+02    1.58e+01    1.49e+01    1.05e+02
2010 04 14  0201   55300   7260     1.03e+02    1.58e+01    1.50e+01    1.05e+02
2010 04 14  0202   55300   7320     1.03e+02    1.59e+01    1.50e+01    1.05e+02
2010 04 14  0203   55300   7380     1.02e+02    1.59e+01    1.50e+01    1.05e+02
2010 04 14  0204   55300   7440     1.02e+02    1.59e+01    1.49e+01    1.04e+02
2010 04 14  0205   55300   7500     1.02e+02    1.59e+01    1.48e+01    1.04e+02
2010 04 14  0206   55300   7560     1.02e+02    1.60e+01    1.47e+01    1.04e+02
2010 04 14  0207   55300   7620     1.02e+02    1.59e+01    1.47e+01    1.04e+02
2010 04 14  0208   55300   7680     1.02e+02    1.59e+01    1.46e+01    1.04e+02
2010 04 14  0209   55300   7740     1.02e+02    1.59e+01    1.46e+01    1.04e+02
2010 04 14  0210   55300   7800     1.02e+02    1.58e+01    1.47e+01    1.04e+02
2010 04 14  0211   55300   7860     1.02e+02    1.59e+01    1.48e+01    1.04e+02
2010 04 14  0212   55300   7920     1.02e+02    1.58e+01    1.48e+01    1.04e+02
2010 04 14  0213   55300   7980     1.02e+02    1.58e+01    1.48e+01    1.04e+02
2010 04 14  0214   55300   8040     1.02e+02    1.57e+01    1.48e+01    1.04e+02
2010 04 14  0215   55300   8100     1.02e+02    1.58e+01    1.47e+01    1.04e+02
2010 04 14  0216   55300   8160     1.02e+02    1.57e+01    1.47e+01    1.04e+02
2010 04 14  0217   55300   8220     1.02e+02    1.57e+01    1.48e+01    1.04e+02
2010 04 14  0218   55300   8280     1.01e+02    1.56e+01    1.47e+01    1.04e+02
2010 04 14  0219   55300   8340     1.01e+02    1.56e+01    1.47e+01    1.04e+02
2010 04 14  0220   55300   8400     1.01e+02    1.55e+01    1.47e+01    1.03e+02
2010 04 14  0221   55300   8460     1.01e+02    1.56e+01    1.46e+01    1.03e+02
2010 04 14  0222   55300   8520     1.01e+02    1.55e+01    1.46e+01    1.03e+02
2010 04 14  0223   55300   8580     1.01e+02    1.55e+01    1.46e+01    1.03e+02
2010 04 14  0224   55300   8640     1.01e+02    1.55e+01    1.47e+01    1.03e+02
2010 04 14  0225   55300   8700     1.00e+02    1.55e+01    1.47e+01    1.03e+02
2010 04 14  0226   55300   8760     1.00e+02    1.55e+01    1.46e+01    1.03e+02
2010 04 14  0227   55300   8820     1.00e+02    1.55e+01    1.47e+01    1.03e+02
2010 04 14  0228   55300   8880     1.00e+02    1.54e+01    1.47e+01    1.02e+02
2010 04 14  0229   55300   8940     1.00e+02    1.55e+01    1.48e+01    1.02e+02
2010 04 14  0230   55300   9000     1.00e+02    1.54e+01    1.47e+01    1.02e+02
2010 04 14  0231   55300   9060     9.99e+01    1.53e+01    1.48e+01    1.02e+02
2010 04 14  0232   55300   9120     9.97e+01    1.52e+01    1.48e+01    1.02e+02
2010 04 14  0233   55300   9180     9.96e+01    1.52e+01    1.49e+01    1.02e+02
2010 04 14  0234   55300   9240     9.95e+01    1.52e+01    1.50e+01    1.02e+02
2010 04 14  0235   55300   9300     9.94e+01    1.52e+01    1.49e+01    1.02e+02
2010 04 14  0236   55300   9360     9.93e+01    1.51e+01    1.49e+01    1.02e+02
2010 04 14  0237   55300   9420     9.93e+01    1.50e+01    1.50e+01    1.02e+02
2010 04 14  0238   55300   9480     9.96e+01    1.48e+01    1.50e+01    1.02e+02
2010 04 14  0239   55300   9540     9.99e+01    1.46e+01    1.51e+01    1.02e+02
2010 04 14  0240   55300   9600     1.00e+02    1.46e+01    1.53e+01    1.02e+02
2010 04 14  0241   55300   9660     1.00e+02    1.46e+01    1.54e+01    1.02e+02
2010 04 14  0242   55300   9720     1.00e+02    1.47e+01    1.56e+01    1.02e+02
2010 04 14  0243   55300   9780     9.98e+01    1.48e+01    1.56e+01    1.02e+02
2010 04 14  0244   55300   9840     9.97e+01    1.49e+01    1.56e+01    1.02e+02
2010 04 14  0245   55300   9900     9.96e+01    1.50e+01    1.55e+01    1.02e+02
2010 04 14  0246   55300   9960     9.96e+01    1.51e+01    1.54e+01    1.02e+02
2010 04 14  0247   55300  10020     9.96e+01    1.52e+01    1.54e+01    1.02e+02
2010 04 14  0248   55300  10080     9.95e+01    1.53e+01    1.54e+01    1.02e+02
2010 04 14  0249   55300  10140     9.94e+01    1.53e+01    1.53e+01    1.02e+02
2010 04 14  0250   55300  10200     9.92e+01    1.54e+01    1.52e+01    1.02e+02
2010 04 14  0251   55300  10260     9.89e+01    1.56e+01    1.52e+01    1.01e+02
2010 04 14  0252   55300  10320     9.87e+01    1.56e+01    1.52e+01    1.01e+02
2010 04 14  0253   55300  10380     9.85e+01    1.56e+01    1.52e+01    1.01e+02
2010 04 14  0254   55300  10440     9.82e+01    1.57e+01    1.50e+01    1.01e+02
2010 04 14  0255   55300  10500     9.79e+01    1.59e+01    1.49e+01    1.00e+02
2010 04 14  0256   55300  10560     9.76e+01    1.59e+01    1.49e+01    1.00e+02
2010 04 14  0257   55300  10620     9.76e+01    1.60e+01    1.49e+01    1.00e+02
2010 04 14  0258   55300  10680     9.75e+01    1.61e+01    1.48e+01    9.99e+01
2010 04 14  0259   55300  10740     9.74e+01    1.62e+01    1.48e+01    9.98e+01
2010 04 14  0300   55300  10800     9.74e+01    1.62e+01    1.47e+01    9.98e+01
2010 04 14  0301   55300  10860     9.72e+01    1.62e+01    1.47e+01    9.97e+01
2010 04 14  0302   55300  10920     9.71e+01    1.63e+01    1.46e+01    9.95e+01
2010 04 14  0303   55300  10980     9.69e+01    1.63e+01    1.46e+01    9.94e+01
2010 04 14  0304   55300  11040     9.67e+01    1.64e+01    1.46e+01    9.92e+01
2010 04 14  0305   55300  11100     9.66e+01    1.64e+01    1.45e+01    9.90e+01
2010 04 14  0306   55300  11160     9.64e+01    1.64e+01    1.44e+01    9.88e+01
2010 04 14  0307   55300  11220     9.62e+01    1.65e+01    1.43e+01    9.86e+01
2010 04 14  0308   55300  11280     9.63e+01    1.66e+01    1.44e+01    9.88e+01
2010 04 14  0309   55300  11340     9.61e+01    1.66e+01    1.44e+01    9.85e+01
2010 04 14  0310   55300  11400     9.58e+01    1.67e+01    1.43e+01    9.83e+01
2010 04 14  0311   55300  11460     9.60e+01    1.68e+01    1.43e+01    9.85e+01
2010 04 14  0312   55300  11520     9.59e+01    1.68e+01    1.44e+01    9.84e+01
2010 04 14  0313   55300  11580     9.55e+01    1.67e+01    1.42e+01    9.80e+01
2010 04 14  0314   55300  11640     9.53e+01    1.66e+01    1.41e+01    9.78e+01
2010 04 14  0315   55300  11700     9.53e+01    1.65e+01    1.41e+01    9.77e+01
2010 04 14  0316   55300  11760     9.52e+01    1.65e+01    1.41e+01    9.77e+01
2010 04 14  0317   55300  11820     9.52e+01    1.65e+01    1.40e+01    9.77e+01
2010 04 14  0318   55300  11880     9.53e+01    1.66e+01    1.42e+01    9.78e+01
2010 04 14  0319   55300  11940     9.52e+01    1.66e+01    1.42e+01    9.77e+01
2010 04 14  0320   55300  12000     9.52e+01    1.66e+01    1.41e+01    9.77e+01
2010 04 14  0321   55300  12060     9.48e+01    1.67e+01    1.41e+01    9.73e+01
2010 04 14  0322   55300  12120     9.48e+01    1.67e+01    1.41e+01    9.73e+01
2010 04 14  0323   55300  12180     9.48e+01    1.68e+01    1.41e+01    9.73e+01
2010 04 14  0324   55300  12240     9.45e+01    1.67e+01    1.39e+01    9.70e+01
2010 04 14  0325   55300  12300     9.44e+01    1.67e+01    1.39e+01    9.69e+01
2010 04 14  0326   55300  12360     9.43e+01    1.67e+01    1.39e+01    9.68e+01
2010 04 14  0327   55300  12420     9.45e+01    1.68e+01    1.39e+01    9.70e+01
2010 04 14  0328   55300  12480     9.44e+01    1.68e+01    1.38e+01    9.69e+01
2010 04 14  0329   55300  12540     9.43e+01    1.68e+01    1.39e+01    9.68e+01
2010 04 14  0330   55300  12600     9.43e+01    1.68e+01    1.39e+01    9.68e+01
2010 04 14  0331   55300  12660     9.42e+01    1.68e+01    1.39e+01    9.67e+01
2010 04 14  0332   55300  12720     9.43e+01    1.68e+01    1.39e+01    9.68e+01
2010 04 14  0333   55300  12780     9.42e+01    1.69e+01    1.39e+01    9.67e+01
2010 04 14  0334   55300  12840     9.41e+01    1.69e+01    1.38e+01    9.66e+01
2010 04 14  0335   55300  12900     9.39e+01    1.70e+01    1.38e+01    9.64e+01
2010 04 14  0336   55300  12960     9.39e+01    1.70e+01    1.36e+01    9.64e+01
2010 04 14  0337   55300  13020     9.37e+01    1.71e+01    1.35e+01    9.62e+01
2010 04 14  0338   55300  13080     9.36e+01    1.71e+01    1.35e+01    9.61e+01
2010 04 14  0339   55300  13140     9.34e+01    1.72e+01    1.34e+01    9.59e+01
2010 04 14  0340   55300  13200     9.33e+01    1.72e+01    1.33e+01    9.58e+01
2010 04 14  0341   55300  13260     9.32e+01    1.73e+01    1.33e+01    9.57e+01
2010 04 14  0342   55300  13320     9.29e+01    1.72e+01    1.33e+01    9.55e+01
2010 04 14  0343   55300  13380     9.28e+01    1.73e+01    1.33e+01    9.53e+01
2010 04 14  0344   55300  13440     9.27e+01    1.75e+01    1.32e+01    9.53e+01
2010 04 14  0345   55300  13500     9.24e+01    1.75e+01    1.32e+01    9.50e+01
2010 04 14  0346   55300  13560     9.23e+01    1.75e+01    1.31e+01    9.49e+01
2010 04 14  0347   55300  13620     9.23e+01    1.75e+01    1.31e+01    9.48e+01
2010 04 14  0348   55300  13680     9.21e+01    1.74e+01    1.31e+01    9.47e+01
2010 04 14  0349   55300  13740     9.20e+01    1.74e+01    1.31e+01    9.45e+01
2010 04 14  0350   55300  13800     9.19e+01    1.75e+01    1.30e+01    9.44e+01
2010 04 14  0351   55300  13860     9.17e+01    1.75e+01    1.30e+01    9.43e+01
2010 04 14  0352   55300  13920     9.15e+01    1.76e+01    1.29e+01    9.41e+01
2010 04 14  0353   55300  13980     9.13e+01    1.76e+01    1.28e+01    9.38e+01
2010 04 14  0354   55300  14040     9.11e+01    1.76e+01    1.27e+01    9.36e+01
2010 04 14  0355   55300  14100     9.09e+01    1.77e+01    1.26e+01    9.35e+01
2010 04 14  0356   55300  14160     9.08e+01    1.77e+01    1.26e+01    9.34e+01
2010 04 14  0357   55300  14220     9.08e+01    1.77e+01    1.25e+01    9.34e+01
2010 04 14  0358   55300  14280     9.08e+01    1.78e+01    1.26e+01    9.33e+01
2010 04 14  0359   55300  14340     9.06e+01    1.78e+01    1.26e+01    9.32e+01
2010 04 14  0400   55300  14400     9.06e+01    1.76e+01    1.25e+01    9.31e+01
2010 04 14  0401   55300  14460     9.03e+01    1.76e+01    1.26e+01    9.29e+01
2010 04 14  0402   55300  14520     9.01e+01    1.76e+01    1.27e+01    9.27e+01
2010 04 14  0403   55300  14580     9.00e+01    1.76e+01    1.27e+01    9.26e+01
2010 04 14  0404   55300  14640     9.00e+01    1.76e+01    1.28e+01    9.26e+01
2010 04 14  0405   55300  14700     9.01e+01    1.75e+01    1.27e+01    9.26e+01
2010 04 14  0406   55300  14760     9.00e+01    1.73e+01    1.24e+01    9.25e+01
2010 04 14  0407   55300  14820     8.97e+01    1.72e+01    1.24e+01    9.22e+01
2010 04 14  0408   55300  14880     8.97e+01    1.73e+01    1.23e+01    9.22e+01
2010 04 14  0409   55300  14940     8.97e+01    1.73e+01    1.23e+01    9.22e+01
2010 04 14  0410   55300  15000     8.98e+01    1.73e+01    1.22e+01    9.23e+01
2010 04 14  0411   55300  15060     8.96e+01    1.72e+01    1.20e+01    9.20e+01
2010 04 14  0412   55300  15120     8.95e+01    1.70e+01    1.20e+01    9.19e+01
2010 04 14  0413   55300  15180     8.92e+01    1.71e+01    1.19e+01    9.16e+01
2010 04 14  0414   55300  15240     8.92e+01    1.71e+01    1.19e+01    9.16e+01
2010 04 14  0415   55300  15300     8.94e+01    1.70e+01    1.19e+01    9.17e+01
2010 04 14  0416   55300  15360     8.94e+01    1.70e+01    1.20e+01    9.18e+01
2010 04 14  0417   55300  15420     8.93e+01    1.71e+01    1.20e+01    9.17e+01
2010 04 14  0418   55300  15480     8.92e+01    1.72e+01    1.19e+01    9.16e+01
2010 04 14  0419   55300  15540     8.91e+01    1.72e+01    1.18e+01    9.15e+01
2010 04 14  0420   55300  15600     8.91e+01    1.73e+01    1.16e+01    9.15e+01
2010 04 14  0421   55300  15660     8.91e+01    1.75e+01    1.16e+01    9.15e+01
2010 04 14  0422   55300  15720     8.89e+01    1.78e+01    1.15e+01    9.14e+01
2010 04 14  0423   55300  15780     8.88e+01    1.78e+01    1.15e+01    9.13e+01
2010 04 14  0424   55300  15840     8.88e+01    1.80e+01    1.15e+01    9.13e+01
2010 04 14  0425   55300  15900     8.87e+01    1.80e+01    1.16e+01    9.12e+01
2010 04 14  0426   55300  15960     8.86e+01    1.81e+01    1.19e+01    9.12e+01
2010 04 14  0427   55300  16020     8.87e+01    1.82e+01    1.20e+01    9.13e+01
2010 04 14  0428   55300  16080     8.87e+01    1.81e+01    1.21e+01    9.13e+01
2010 04 14  0429   55300  16140     8.88e+01    1.80e+01    1.23e+01    9.14e+01
2010 04 14  0430   55300  16200     8.90e+01    1.80e+01    1.21e+01    9.16e+01
2010 04 14  0431   55300  16260     8.91e+01    1.79e+01    1.21e+01    9.17e+01
2010 04 14  0432   55300  16320     8.92e+01    1.78e+01    1.20e+01    9.18e+01
2010 04 14  0433   55300  16380     8.94e+01    1.78e+01    1.19e+01    9.19e+01
2010 04 14  0434   55300  16440     8.93e+01    1.78e+01    1.19e+01    9.18e+01
2010 04 14  0435   55300  16500     8.93e+01    1.79e+01    1.18e+01    9.18e+01
2010 04 14  0436   55300  16560     8.94e+01    1.80e+01    1.17e+01    9.19e+01
2010 04 14  0437   55300  16620     8.95e+01    1.79e+01    1.16e+01    9.20e+01
2010 04 14  0438   55300  16680     8.93e+01    1.81e+01    1.17e+01    9.19e+01
2010 04 14  0439   55300  16740     8.93e+01    1.82e+01    1.17e+01    9.19e+01
2010 04 14  0440   55300  16800     8.94e+01    1.82e+01    1.15e+01    9.20e+01
2010 04 14  0441   55300  16860     8.94e+01    1.82e+01    1.15e+01    9.20e+01
2010 04 14  0442   55300  16920     8.94e+01    1.82e+01    1.15e+01    9.20e+01
2010 04 14  0443   55300  16980     8.94e+01    1.82e+01    1.15e+01    9.19e+01
2010 04 14  0444   55300  17040     8.93e+01    1.82e+01    1.14e+01    9.18e+01
2010 04 14  0445   55300  17100     8.93e+01    1.82e+01    1.14e+01    9.18e+01
2010 04 14  0446   55300  17160     8.92e+01    1.82e+01    1.13e+01    9.17e+01
2010 04 14  0447   55300  17220     8.91e+01    1.82e+01    1.14e+01    9.16e+01
2010 04 14  0448   55300  17280     8.90e+01    1.81e+01    1.13e+01    9.16e+01
2010 04 14  0449   55300  17340     8.89e+01    1.82e+01    1.13e+01    9.15e+01
2010 04 14  0450   55300  17400     8.89e+01    1.82e+01    1.13e+01    9.14e+01
2010 04 14  0451   55300  17460     8.89e+01    1.83e+01    1.14e+01    9.14e+01
2010 04 14  0452   55300  17520     8.89e+01    1.82e+01    1.14e+01    9.15e+01
2010 04 14  0453   55300  17580     8.90e+01    1.82e+01    1.15e+01    9.16e+01
2010 04 14  0454   55300  17640     8.91e+01    1.82e+01    1.15e+01    9.17e+01
2010 04 14  0455   55300  17700     8.93e+01    1.82e+01    1.17e+01    9.19e+01
2010 04 14  0456   55300  17760     8.94e+01    1.81e+01    1.18e+01    9.20e+01
2010 04 14  0457   55300  17820     8.97e+01    1.81e+01    1.19e+01    9.22e+01
2010 04 14  0458   55300  17880     8.98e+01    1.81e+01    1.19e+01    9.24e+01
2010 04 14  0459   55300  17940     8.99e+01    1.82e+01    1.20e+01    9.25e+01
2010 04 14  0500   55300  18000     9.01e+01    1.81e+01    1.19e+01    9.27e+01
