:Data_list: 20070311_G11xr_1m.txt
:Created: 2007 Mar 12 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-11
# Location: W136
# Missing data: -1.00e+05
#
#         1-minute GOES-11 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2007 03 11  0044   54170   2640     5.07e-09    8.89e-09
2007 03 11  0045   54170   2700     5.07e-09    6.87e-09
2007 03 11  0046   54170   2760     5.02e-09    3.73e-09
2007 03 11  0047   54170   2820     4.90e-09    3.73e-09
2007 03 11  0048   54170   2880     4.84e-09    3.73e-09
2007 03 11  0049   54170   2940     4.58e-09    3.73e-09
2007 03 11  0050   54170   3000     4.60e-09    3.73e-09
2007 03 11  0051   54170   3060     4.67e-09    3.73e-09
2007 03 11  0052   54170   3120     4.53e-09    3.73e-09
2007 03 11  0053   54170   3180     4.28e-09    3.73e-09
2007 03 11  0054   54170   3240     4.50e-09    3.73e-09
2007 03 11  0055   54170   3300     4.25e-09    3.73e-09
2007 03 11  0056   54170   3360     4.10e-09    3.73e-09
2007 03 11  0057   54170   3420     4.05e-09    3.73e-09
2007 03 11  0058   54170   3480     3.96e-09    3.73e-09
2007 03 11  0059   54170   3540     3.88e-09    3.73e-09
2007 03 11  0100   54170   3600     4.03e-09    3.73e-09
2007 03 11  0101   54170   3660     4.21e-09    3.73e-09
2007 03 11  0102   54170   3720     4.08e-09    3.73e-09
2007 03 11  0103   54170   3780     4.05e-09    3.73e-09
2007 03 11  0104   54170   3840     3.71e-09    3.73e-09
2007 03 11  0105   54170   3900     3.48e-09    3.73e-09
2007 03 11  0106   54170   3960     3.82e-09    3.73e-09
2007 03 11  0107   54170   4020     3.59e-09    3.73e-09
2007 03 11  0108   54170   4080     3.69e-09    3.73e-09
2007 03 11  0109   54170   4140     3.71e-09    3.73e-09
2007 03 11  0110   54170   4200     3.47e-09    3.73e-09
2007 03 11  0111   54170   4260     3.54e-09    3.73e-09
2007 03 11  0112   54170   4320     3.33e-09    3.73e-09
2007 03 11  0113   54170   4380     3.19e-09    3.73e-09
2007 03 11  0114   54170   4440     3.43e-09    3.73e-09
2007 03 11  0115   54170   4500     3.58e-09    3.73e-09
2007 03 11  0116   54170   4560     3.46e-09    3.73e-09
2007 03 11  0117   54170   4620     3.55e-09    3.73e-09
2007 03 11  0118   54170   4680     3.71e-09    3.73e-09
2007 03 11  0119   54170   4740     3.74e-09    3.73e-09
2007 03 11  0120   54170   4800     3.49e-09    3.73e-09
2007 03 11  0121   54170   4860     3.48e-09    3.73e-09
2007 03 11  0122   54170   4920     3.37e-09    3.73e-09
2007 03 11  0123   54170   4980     3.50e-09    3.73e-09
2007 03 11  0124   54170   5040     3.78e-09    3.73e-09
2007 03 11  0125   54170   5100     4.06e-09    3.73e-09
2007 03 11  0126   54170   5160     3.77e-09    3.73e-09
2007 03 11  0127   54170   5220     3.56e-09    3.73e-09
2007 03 11  0128   54170   5280     3.26e-09    3.73e-09
2007 03 11  0129   54170   5340     3.28e-09    3.73e-09
2007 03 11  0130   54170   5400     3.19e-09    3.73e-09
2007 03 11  0131   54170   5460     3.23e-09    3.73e-09
2007 03 11  0132   54170   5520     3.21e-09    3.73e-09
2007 03 11  0133   54170   5580     3.37e-09    3.73e-09
2007 03 11  0134   54170   5640     3.19e-09    3.73e-09
2007 03 11  0135   54170   5700     3.16e-09    3.73e-09
2007 03 11  0136   54170   5760     3.22e-09    3.73e-09
2007 03 11  0137   54170   5820     3.19e-09    3.73e-09
2007 03 11  0138   54170   5880     3.20e-09    3.73e-09
2007 03 11  0139   54170   5940     3.19e-09    3.73e-09
2007 03 11  0140   54170   6000     3.34e-09    3.73e-09
2007 03 11  0141   54170   6060     3.21e-09    3.73e-09
2007 03 11  0142   54170   6120     3.14e-09    3.73e-09
2007 03 11  0143   54170   6180     3.11e-09    3.73e-09
2007 03 11  0144   54170   6240     3.21e-09    3.73e-09
2007 03 11  0145   54170   6300     3.14e-09    3.73e-09
2007 03 11  0146   54170   6360     3.16e-09    3.73e-09
2007 03 11  0147   54170   6420     3.12e-09    3.73e-09
2007 03 11  0148   54170   6480     3.11e-09    3.73e-09
2007 03 11  0149   54170   6540     3.13e-09    3.73e-09
2007 03 11  0150   54170   6600     3.14e-09    3.73e-09
2007 03 11  0151   54170   6660     3.14e-09    3.73e-09
2007 03 11  0152   54170   6720     3.10e-09    3.73e-09
2007 03 11  0153   54170   6780     3.11e-09    3.73e-09
2007 03 11  0154   54170   6840     3.12e-09    3.73e-09
2007 03 11  0155   54170   6900     3.24e-09    3.73e-09
2007 03 11  0156   54170   6960     3.10e-09    3.73e-09
2007 03 11  0157   54170   7020     3.23e-09    3.73e-09
2007 03 11  0158   54170   7080     3.14e-09    3.73e-09
2007 03 11  0159   54170   7140     3.10e-09    3.73e-09
2007 03 11  0200   54170   7200     3.19e-09    3.73e-09
2007 03 11  0201   54170   7260     3.17e-09    3.73e-09
2007 03 11  0202   54170   7320     3.22e-09    3.73e-09
2007 03 11  0203   54170   7380     3.19e-09    3.73e-09
2007 03 11  0204   54170   7440     3.19e-09    3.73e-09
2007 03 11  0205   54170   7500     3.16e-09    3.73e-09
2007 03 11  0206   54170   7560     3.23e-09    3.73e-09
2007 03 11  0207   54170   7620     3.12e-09    3.73e-09
2007 03 11  0208   54170   7680     3.17e-09    3.73e-09
2007 03 11  0209   54170   7740     3.21e-09    3.73e-09
2007 03 11  0210   54170   7800     3.12e-09    3.73e-09
2007 03 11  0211   54170   7860     3.24e-09    3.73e-09
2007 03 11  0212   54170   7920     3.14e-09    3.73e-09
2007 03 11  0213   54170   7980     3.12e-09    3.73e-09
2007 03 11  0214   54170   8040     3.12e-09    3.73e-09
2007 03 11  0215   54170   8100     3.11e-09    3.73e-09
2007 03 11  0216   54170   8160     3.13e-09    3.73e-09
2007 03 11  0217   54170   8220     3.11e-09    3.73e-09
2007 03 11  0218   54170   8280     3.11e-09    3.73e-09
2007 03 11  0219   54170   8340     3.10e-09    3.73e-09
2007 03 11  0220   54170   8400     3.10e-09    3.73e-09
2007 03 11  0221   54170   8460     3.10e-09    3.73e-09
2007 03 11  0222   54170   8520     3.12e-09    3.73e-09
2007 03 11  0223   54170   8580     3.14e-09    3.73e-09
2007 03 11  0224   54170   8640     3.10e-09    3.73e-09
2007 03 11  0225   54170   8700     3.10e-09    3.73e-09
2007 03 11  0226   54170   8760     3.10e-09    3.73e-09
2007 03 11  0227   54170   8820     3.10e-09    3.73e-09
2007 03 11  0228   54170   8880     3.17e-09    3.73e-09
2007 03 11  0229   54170   8940     3.13e-09    3.73e-09
2007 03 11  0230   54170   9000     3.15e-09    3.73e-09
2007 03 11  0231   54170   9060     3.10e-09    3.73e-09
2007 03 11  0232   54170   9120     3.10e-09    3.73e-09
2007 03 11  0233   54170   9180     3.10e-09    3.73e-09
2007 03 11  0234   54170   9240     3.10e-09    3.73e-09
2007 03 11  0235   54170   9300     3.10e-09    3.73e-09
2007 03 11  0236   54170   9360     3.12e-09    3.73e-09
2007 03 11  0237   54170   9420     3.10e-09    3.73e-09
2007 03 11  0238   54170   9480     3.10e-09    3.73e-09
2007 03 11  0239   54170   9540     3.11e-09    3.73e-09
2007 03 11  0240   54170   9600     3.13e-09    3.73e-09
2007 03 11  0241   54170   9660     3.10e-09    3.73e-09
2007 03 11  0242   54170   9720     3.10e-09    3.73e-09
2007 03 11  0243   54170   9780     3.11e-09    3.73e-09
2007 03 11  0244   54170   9840     3.10e-09    3.73e-09
2007 03 11  0245   54170   9900     3.10e-09    3.73e-09
2007 03 11  0246   54170   9960     3.10e-09    3.73e-09
2007 03 11  0247   54170  10020     3.10e-09    3.73e-09
2007 03 11  0248   54170  10080     3.10e-09    3.73e-09
2007 03 11  0249   54170  10140     3.25e-09    3.73e-09
2007 03 11  0250   54170  10200     3.10e-09    3.73e-09
2007 03 11  0251   54170  10260     3.10e-09    3.73e-09
2007 03 11  0252   54170  10320     3.10e-09    3.73e-09
2007 03 11  0253   54170  10380     3.10e-09    3.73e-09
2007 03 11  0254   54170  10440     3.13e-09    3.81e-09
2007 03 11  0255   54170  10500     3.10e-09    3.73e-09
2007 03 11  0256   54170  10560     3.13e-09    3.85e-09
2007 03 11  0257   54170  10620     3.13e-09    4.52e-09
2007 03 11  0258   54170  10680     3.11e-09    8.35e-09
2007 03 11  0259   54170  10740     3.14e-09    8.60e-09
2007 03 11  0300   54170  10800     3.09e-09    8.59e-09
2007 03 11  0301   54170  10860     3.09e-09    8.60e-09
2007 03 11  0302   54170  10920     3.11e-09    8.62e-09
2007 03 11  0303   54170  10980     3.10e-09    7.59e-09
2007 03 11  0304   54170  11040     3.18e-09    4.73e-09
2007 03 11  0305   54170  11100     3.10e-09    3.89e-09
2007 03 11  0306   54170  11160     3.10e-09    3.77e-09
2007 03 11  0307   54170  11220     3.10e-09    4.27e-09
2007 03 11  0308   54170  11280     3.11e-09    6.06e-09
2007 03 11  0309   54170  11340     3.13e-09    8.27e-09
2007 03 11  0310   54170  11400     3.09e-09    8.59e-09
2007 03 11  0311   54170  11460     3.09e-09    8.58e-09
2007 03 11  0312   54170  11520     3.09e-09    8.59e-09
2007 03 11  0313   54170  11580     3.09e-09    8.50e-09
2007 03 11  0314   54170  11640     3.11e-09    6.78e-09
2007 03 11  0315   54170  11700     3.09e-09    4.85e-09
2007 03 11  0316   54170  11760     3.09e-09    4.02e-09
2007 03 11  0317   54170  11820     3.09e-09    3.73e-09
2007 03 11  0318   54170  11880     3.09e-09    3.73e-09
2007 03 11  0319   54170  11940     3.09e-09    3.73e-09
2007 03 11  0320   54170  12000     3.09e-09    3.73e-09
2007 03 11  0321   54170  12060     3.09e-09    3.73e-09
2007 03 11  0322   54170  12120     3.09e-09    3.73e-09
2007 03 11  0323   54170  12180     3.09e-09    3.73e-09
2007 03 11  0324   54170  12240     3.20e-09    3.73e-09
2007 03 11  0325   54170  12300     3.09e-09    3.77e-09
2007 03 11  0326   54170  12360     3.09e-09    3.73e-09
2007 03 11  0327   54170  12420     3.09e-09    3.73e-09
2007 03 11  0328   54170  12480     3.09e-09    3.73e-09
2007 03 11  0329   54170  12540     3.09e-09    3.73e-09
2007 03 11  0330   54170  12600     3.09e-09    3.73e-09
2007 03 11  0331   54170  12660     3.11e-09    3.73e-09
2007 03 11  0332   54170  12720     3.09e-09    3.73e-09
2007 03 11  0333   54170  12780     3.09e-09    3.73e-09
2007 03 11  0334   54170  12840     3.09e-09    3.73e-09
2007 03 11  0335   54170  12900     3.09e-09    3.73e-09
2007 03 11  0336   54170  12960     3.09e-09    3.73e-09
2007 03 11  0337   54170  13020     3.09e-09    3.73e-09
2007 03 11  0338   54170  13080     3.09e-09    3.73e-09
2007 03 11  0339   54170  13140     3.09e-09    3.73e-09
2007 03 11  0340   54170  13200     3.09e-09    3.73e-09
2007 03 11  0341   54170  13260     3.09e-09    3.73e-09
2007 03 11  0342   54170  13320     3.09e-09    3.73e-09
2007 03 11  0343   54170  13380     3.11e-09    3.73e-09
2007 03 11  0344   54170  13440     3.09e-09    3.73e-09
2007 03 11  0345   54170  13500     3.09e-09    3.73e-09
2007 03 11  0346   54170  13560     3.09e-09    3.73e-09
2007 03 11  0347   54170  13620     3.09e-09    3.73e-09
2007 03 11  0348   54170  13680     3.09e-09    3.73e-09
2007 03 11  0349   54170  13740     3.09e-09    3.73e-09
2007 03 11  0350   54170  13800     3.09e-09    3.73e-09
2007 03 11  0351   54170  13860     3.08e-09    3.73e-09
2007 03 11  0352   54170  13920     3.09e-09    3.73e-09
2007 03 11  0353   54170  13980     3.09e-09    3.73e-09
2007 03 11  0354   54170  14040     3.09e-09    3.73e-09
2007 03 11  0355   54170  14100     3.09e-09    3.73e-09
2007 03 11  0356   54170  14160     3.09e-09    3.73e-09
2007 03 11  0357   54170  14220     3.10e-09    3.73e-09
2007 03 11  0358   54170  14280     3.09e-09    3.73e-09
2007 03 11  0359   54170  14340     3.10e-09    3.73e-09
2007 03 11  0400   54170  14400     3.12e-09    3.73e-09
2007 03 11  0401   54170  14460     3.08e-09    3.73e-09
2007 03 11  0402   54170  14520     3.08e-09    3.73e-09
2007 03 11  0403   54170  14580     3.09e-09    3.73e-09
2007 03 11  0404   54170  14640     3.10e-09    3.73e-09
2007 03 11  0405   54170  14700     3.08e-09    3.73e-09
2007 03 11  0406   54170  14760     3.08e-09    3.73e-09
2007 03 11  0407   54170  14820     3.08e-09    3.73e-09
2007 03 11  0408   54170  14880     3.08e-09    3.73e-09
2007 03 11  0409   54170  14940     3.12e-09    3.73e-09
2007 03 11  0410   54170  15000     3.10e-09    3.73e-09
2007 03 11  0411   54170  15060     3.08e-09    3.73e-09
2007 03 11  0412   54170  15120     3.08e-09    3.73e-09
2007 03 11  0413   54170  15180     3.10e-09    3.73e-09
2007 03 11  0414   54170  15240     3.08e-09    3.73e-09
2007 03 11  0415   54170  15300     3.08e-09    3.73e-09
2007 03 11  0416   54170  15360     3.08e-09    3.73e-09
2007 03 11  0417   54170  15420     3.08e-09    3.73e-09
2007 03 11  0418   54170  15480     3.12e-09    3.73e-09
2007 03 11  0419   54170  15540     3.08e-09    3.73e-09
2007 03 11  0420   54170  15600     3.08e-09    3.73e-09
2007 03 11  0421   54170  15660     3.08e-09    3.73e-09
2007 03 11  0422   54170  15720     3.08e-09    3.73e-09
2007 03 11  0423   54170  15780     3.08e-09    3.73e-09
2007 03 11  0424   54170  15840     3.08e-09    3.73e-09
2007 03 11  0425   54170  15900     3.08e-09    3.73e-09
2007 03 11  0426   54170  15960     3.08e-09    3.73e-09
2007 03 11  0427   54170  16020     3.08e-09    3.73e-09
2007 03 11  0428   54170  16080     3.10e-09    3.73e-09
2007 03 11  0429   54170  16140     3.13e-09    3.73e-09
2007 03 11  0430   54170  16200     3.08e-09    3.73e-09
2007 03 11  0431   54170  16260     3.08e-09    3.73e-09
2007 03 11  0432   54170  16320     3.08e-09    3.73e-09
2007 03 11  0433   54170  16380     3.08e-09    3.73e-09
2007 03 11  0434   54170  16440     3.08e-09    3.73e-09
2007 03 11  0435   54170  16500     3.08e-09    3.73e-09
2007 03 11  0436   54170  16560     3.08e-09    3.73e-09
2007 03 11  0437   54170  16620     3.08e-09    3.73e-09
2007 03 11  0438   54170  16680     3.08e-09    3.73e-09
2007 03 11  0439   54170  16740     3.08e-09    3.73e-09
2007 03 11  0440   54170  16800     3.08e-09    3.73e-09
2007 03 11  0441   54170  16860     3.08e-09    3.73e-09
2007 03 11  0442   54170  16920     3.08e-09    3.73e-09
2007 03 11  0443   54170  16980     3.08e-09    3.73e-09
2007 03 11  0444   54170  17040     3.08e-09    3.73e-09
2007 03 11  0445   54170  17100     3.08e-09    3.73e-09
2007 03 11  0446   54170  17160     3.08e-09    3.73e-09
2007 03 11  0447   54170  17220     3.07e-09    3.73e-09
2007 03 11  0448   54170  17280     3.07e-09    3.73e-09
2007 03 11  0449   54170  17340     3.08e-09    3.73e-09
2007 03 11  0450   54170  17400     3.10e-09    3.73e-09
2007 03 11  0451   54170  17460     3.08e-09    3.73e-09
2007 03 11  0452   54170  17520     3.08e-09    3.73e-09
2007 03 11  0453   54170  17580     3.16e-09    3.73e-09
2007 03 11  0454   54170  17640     3.06e-09    3.73e-09
2007 03 11  0455   54170  17700     3.04e-09    3.73e-09
2007 03 11  0456   54170  17760     3.08e-09    3.73e-09
2007 03 11  0457   54170  17820     3.06e-09    3.73e-09
2007 03 11  0458   54170  17880     3.06e-09    3.73e-09
2007 03 11  0459   54170  17940     3.04e-09    3.73e-09
2007 03 11  0500   54170  18000     3.04e-09    3.73e-09
2007 03 11  0501   54170  18060     3.06e-09    3.73e-09
2007 03 11  0502   54170  18120     2.94e-09    3.73e-09
2007 03 11  0503   54170  18180     3.03e-09    3.73e-09
2007 03 11  0504   54170  18240     3.01e-09    3.73e-09
2007 03 11  0505   54170  18300     3.03e-09    3.73e-09
2007 03 11  0506   54170  18360     3.06e-09    3.73e-09
2007 03 11  0507   54170  18420     3.03e-09    3.73e-09
2007 03 11  0508   54170  18480     3.03e-09    3.73e-09
2007 03 11  0509   54170  18540     2.94e-09    3.73e-09
2007 03 11  0510   54170  18600     3.01e-09    3.73e-09
2007 03 11  0511   54170  18660     3.03e-09    3.73e-09
2007 03 11  0512   54170  18720     2.98e-09    3.73e-09
2007 03 11  0513   54170  18780     2.86e-09    3.73e-09
2007 03 11  0514   54170  18840     2.92e-09    3.73e-09
2007 03 11  0515   54170  18900     2.75e-09    3.73e-09
2007 03 11  0516   54170  18960     2.95e-09    3.73e-09
2007 03 11  0517   54170  19020     2.78e-09    3.73e-09
2007 03 11  0518   54170  19080     2.78e-09    3.73e-09
2007 03 11  0519   54170  19140     2.80e-09    3.73e-09
2007 03 11  0520   54170  19200     2.95e-09    3.73e-09
2007 03 11  0521   54170  19260     2.87e-09    3.73e-09
2007 03 11  0522   54170  19320     2.55e-09    3.73e-09
2007 03 11  0523   54170  19380     2.51e-09    3.73e-09
2007 03 11  0524   54170  19440     2.31e-09    3.73e-09
2007 03 11  0525   54170  19500     2.53e-09    3.73e-09
2007 03 11  0526   54170  19560     2.78e-09    3.73e-09
2007 03 11  0527   54170  19620     2.65e-09    3.73e-09
2007 03 11  0528   54170  19680     2.62e-09    3.73e-09
2007 03 11  0529   54170  19740     2.53e-09    3.73e-09
2007 03 11  0530   54170  19800     2.21e-09    3.73e-09
2007 03 11  0531   54170  19860     2.26e-09    3.73e-09
2007 03 11  0532   54170  19920     2.03e-09    3.73e-09
2007 03 11  0533   54170  19980     1.80e-09    3.73e-09
2007 03 11  0534   54170  20040     2.21e-09    3.73e-09
2007 03 11  0535   54170  20100     2.15e-09    3.73e-09
2007 03 11  0536   54170  20160     2.05e-09    3.73e-09
2007 03 11  0537   54170  20220     1.94e-09    3.73e-09
2007 03 11  0538   54170  20280     1.82e-09    3.73e-09
2007 03 11  0539   54170  20340     1.75e-09    3.73e-09
2007 03 11  0540   54170  20400     1.90e-09    3.73e-09
2007 03 11  0541   54170  20460     1.56e-09    3.73e-09
2007 03 11  0542   54170  20520     1.55e-09    3.73e-09
2007 03 11  0543   54170  20580     1.60e-09    3.73e-09
2007 03 11  0544   54170  20640     2.81e-09    4.94e-09
2007 03 11  0545   54170  20700     3.07e-09    8.90e-09
2007 03 11  0546   54170  20760     3.93e-09    2.09e-08
2007 03 11  0547   54170  20820     4.66e-09    2.82e-08
2007 03 11  0548   54170  20880     3.19e-09    2.29e-08
2007 03 11  0549   54170  20940     3.07e-09    1.71e-08
2007 03 11  0550   54170  21000     3.10e-09    1.48e-08
2007 03 11  0551   54170  21060     3.07e-09    1.08e-08
2007 03 11  0552   54170  21120     3.07e-09    7.66e-09
2007 03 11  0553   54170  21180     2.98e-09    3.73e-09
2007 03 11  0554   54170  21240     2.64e-09    3.73e-09
2007 03 11  0555   54170  21300     1.75e-09    3.73e-09
2007 03 11  0556   54170  21360     1.26e-09    3.73e-09
2007 03 11  0557   54170  21420     1.42e-09    3.73e-09
2007 03 11  0558   54170  21480     1.13e-09    3.73e-09
2007 03 11  0559   54170  21540     1.21e-09    3.73e-09
2007 03 11  0600   54170  21600     1.18e-09    3.73e-09
2007 03 11  0601   54170  21660     1.19e-09    3.73e-09
2007 03 11  0602   54170  21720     1.12e-09    3.73e-09
2007 03 11  0603   54170  21780     1.16e-09    3.73e-09
2007 03 11  0604   54170  21840     1.14e-09    3.73e-09
2007 03 11  0605   54170  21900     1.14e-09    3.73e-09
2007 03 11  0606   54170  21960     1.17e-09    3.73e-09
2007 03 11  0607   54170  22020     1.17e-09    3.73e-09
2007 03 11  0608   54170  22080     1.12e-09    3.73e-09
2007 03 11  0609   54170  22140     1.21e-09    3.73e-09
2007 03 11  0610   54170  22200     1.12e-09    3.73e-09
2007 03 11  0611   54170  22260     1.09e-09    3.73e-09
2007 03 11  0612   54170  22320     1.09e-09    3.73e-09
2007 03 11  0613   54170  22380     1.11e-09    3.73e-09
2007 03 11  0614   54170  22440     1.09e-09    3.73e-09
2007 03 11  0615   54170  22500     1.13e-09    3.73e-09
2007 03 11  0616   54170  22560     1.11e-09    3.73e-09
2007 03 11  0617   54170  22620     1.13e-09    3.73e-09
2007 03 11  0618   54170  22680     1.17e-09    3.73e-09
2007 03 11  0619   54170  22740     1.26e-09    3.73e-09
2007 03 11  0620   54170  22800     1.55e-09    3.73e-09
2007 03 11  0621   54170  22860     2.18e-09    3.73e-09
2007 03 11  0622   54170  22920     1.90e-09    3.81e-09
2007 03 11  0623   54170  22980     2.20e-09    6.38e-09
2007 03 11  0624   54170  23040     2.93e-09    8.42e-09
2007 03 11  0625   54170  23100     3.06e-09    8.91e-09
2007 03 11  0626   54170  23160     3.04e-09    1.28e-08
2007 03 11  0627   54170  23220     3.06e-09    1.43e-08
2007 03 11  0628   54170  23280     3.01e-09    1.21e-08
2007 03 11  0629   54170  23340     3.06e-09    1.40e-08
2007 03 11  0630   54170  23400     2.20e-09    8.49e-09
2007 03 11  0631   54170  23460     1.26e-09    7.37e-09
2007 03 11  0632   54170  23520     1.19e-09    3.73e-09
2007 03 11  0633   54170  23580     1.13e-09    3.73e-09
2007 03 11  0634   54170  23640     1.09e-09    3.73e-09
2007 03 11  0635   54170  23700     1.11e-09    3.73e-09
2007 03 11  0636   54170  23760     1.16e-09    3.73e-09
2007 03 11  0637   54170  23820     1.11e-09    3.73e-09
2007 03 11  0638   54170  23880     1.09e-09    3.73e-09
2007 03 11  0639   54170  23940     1.15e-09    3.73e-09
2007 03 11  0640   54170  24000     1.16e-09    3.73e-09
2007 03 11  0641   54170  24060     1.11e-09    3.73e-09
2007 03 11  0642   54170  24120     1.13e-09    3.73e-09
2007 03 11  0643   54170  24180     1.13e-09    3.73e-09
2007 03 11  0644   54170  24240     1.16e-09    3.73e-09
2007 03 11  0645   54170  24300     1.10e-09    3.73e-09
2007 03 11  0646   54170  24360     1.25e-09    3.73e-09
2007 03 11  0647   54170  24420     1.16e-09    3.73e-09
2007 03 11  0648   54170  24480     1.15e-09    3.73e-09
2007 03 11  0649   54170  24540     1.10e-09    3.73e-09
2007 03 11  0650   54170  24600     1.14e-09    3.73e-09
2007 03 11  0651   54170  24660     1.11e-09    3.73e-09
2007 03 11  0652   54170  24720     1.09e-09    3.73e-09
2007 03 11  0653   54170  24780     1.13e-09    3.73e-09
2007 03 11  0654   54170  24840     1.14e-09    3.73e-09
2007 03 11  0655   54170  24900     1.09e-09    3.73e-09
2007 03 11  0656   54170  24960     1.11e-09    3.73e-09
2007 03 11  0657   54170  25020     1.11e-09    3.73e-09
2007 03 11  0658   54170  25080     1.19e-09    3.73e-09
2007 03 11  0659   54170  25140     1.09e-09    3.73e-09
2007 03 11  0700   54170  25200     1.11e-09    3.73e-09
2007 03 11  0701   54170  25260     1.09e-09    3.73e-09
2007 03 11  0702   54170  25320     1.12e-09    3.73e-09
2007 03 11  0703   54170  25380     1.21e-09    3.73e-09
2007 03 11  0704   54170  25440     1.09e-09    3.73e-09
2007 03 11  0705   54170  25500     1.09e-09    3.73e-09
2007 03 11  0706   54170  25560     1.21e-09    3.73e-09
2007 03 11  0707   54170  25620     1.13e-09    3.73e-09
2007 03 11  0708   54170  25680     1.09e-09    3.73e-09
2007 03 11  0709   54170  25740     1.11e-09    3.73e-09
2007 03 11  0710   54170  25800     1.09e-09    3.73e-09
2007 03 11  0711   54170  25860     1.09e-09    3.73e-09
2007 03 11  0712   54170  25920     1.09e-09    3.73e-09
2007 03 11  0713   54170  25980     1.09e-09    3.73e-09
2007 03 11  0714   54170  26040     1.09e-09    3.73e-09
2007 03 11  0715   54170  26100     1.09e-09    3.73e-09
2007 03 11  0716   54170  26160     1.11e-09    3.73e-09
2007 03 11  0717   54170  26220     1.09e-09    3.73e-09
2007 03 11  0718   54170  26280     1.09e-09    3.73e-09
2007 03 11  0719   54170  26340     1.09e-09    3.73e-09
2007 03 11  0720   54170  26400     1.09e-09    3.73e-09
2007 03 11  0721   54170  26460     1.13e-09    3.73e-09
2007 03 11  0722   54170  26520     1.11e-09    3.73e-09
2007 03 11  0723   54170  26580     1.10e-09    3.73e-09
2007 03 11  0724   54170  26640     1.17e-09    3.73e-09
2007 03 11  0725   54170  26700     1.10e-09    3.73e-09
