:Data_list: 20100414_Gp_mag_1m.txt
:Created: 2010 Apr 15 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-13
# Location: W081
# Missing data: -1.00e+05
#
#         1-minute GOES-13 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2010 04 14  0053   55300   3180     9.23e+01    4.24e+01   -1.34e+00    1.02e+02
2010 04 14  0054   55300   3240     9.22e+01    4.23e+01   -1.35e+00    1.01e+02
2010 04 14  0055   55300   3300     9.22e+01    4.23e+01   -1.29e+00    1.01e+02
2010 04 14  0056   55300   3360     9.21e+01    4.23e+01   -1.33e+00    1.01e+02
2010 04 14  0057   55300   3420     9.20e+01    4.22e+01   -1.34e+00    1.01e+02
2010 04 14  0058   55300   3480     9.18e+01    4.22e+01   -1.33e+00    1.01e+02
2010 04 14  0059   55300   3540     9.17e+01    4.22e+01   -1.28e+00    1.01e+02
2010 04 14  0100   55300   3600     9.16e+01    4.23e+01   -1.26e+00    1.01e+02
2010 04 14  0101   55300   3660     9.17e+01    4.23e+01   -1.21e+00    1.01e+02
2010 04 14  0102   55300   3720     9.16e+01    4.23e+01   -1.27e+00    1.01e+02
2010 04 14  0103   55300   3780     9.16e+01    4.24e+01   -1.29e+00    1.01e+02
2010 04 14  0104   55300   3840     9.15e+01    4.24e+01   -1.30e+00    1.01e+02
2010 04 14  0105   55300   3900     9.15e+01    4.23e+01   -1.21e+00    1.01e+02
2010 04 14  0106   55300   3960     9.13e+01    4.25e+01   -1.09e+00    1.01e+02
2010 04 14  0107   55300   4020     9.12e+01    4.25e+01   -1.04e+00    1.01e+02
2010 04 14  0108   55300   4080     9.12e+01    4.26e+01   -1.02e+00    1.01e+02
2010 04 14  0109   55300   4140     9.09e+01    4.27e+01   -9.93e-01    1.00e+02
2010 04 14  0110   55300   4200     9.09e+01    4.28e+01   -1.03e+00    1.00e+02
2010 04 14  0111   55300   4260     9.09e+01    4.29e+01   -1.08e+00    1.01e+02
2010 04 14  0112   55300   4320     9.07e+01    4.31e+01   -1.07e+00    1.00e+02
2010 04 14  0113   55300   4380     9.05e+01    4.32e+01   -1.06e+00    1.00e+02
2010 04 14  0114   55300   4440     9.04e+01    4.33e+01   -1.06e+00    1.00e+02
2010 04 14  0115   55300   4500     9.02e+01    4.34e+01   -1.06e+00    1.00e+02
2010 04 14  0116   55300   4560     9.00e+01    4.34e+01   -1.06e+00    1.00e+02
2010 04 14  0117   55300   4620     8.98e+01    4.34e+01   -1.10e+00    9.98e+01
2010 04 14  0118   55300   4680     8.97e+01    4.34e+01   -1.17e+00    9.96e+01
2010 04 14  0119   55300   4740     8.96e+01    4.35e+01   -1.20e+00    9.96e+01
2010 04 14  0120   55300   4800     8.95e+01    4.34e+01   -1.19e+00    9.95e+01
2010 04 14  0121   55300   4860     8.94e+01    4.35e+01   -1.33e+00    9.94e+01
2010 04 14  0122   55300   4920     8.93e+01    4.35e+01   -1.30e+00    9.93e+01
2010 04 14  0123   55300   4980     8.92e+01    4.35e+01   -1.31e+00    9.92e+01
2010 04 14  0124   55300   5040     8.91e+01    4.34e+01   -1.32e+00    9.92e+01
2010 04 14  0125   55300   5100     8.91e+01    4.34e+01   -1.32e+00    9.91e+01
2010 04 14  0126   55300   5160     8.89e+01    4.33e+01   -1.37e+00    9.89e+01
2010 04 14  0127   55300   5220     8.89e+01    4.32e+01   -1.39e+00    9.89e+01
2010 04 14  0128   55300   5280     8.88e+01    4.32e+01   -1.41e+00    9.88e+01
2010 04 14  0129   55300   5340     8.87e+01    4.31e+01   -1.39e+00    9.87e+01
2010 04 14  0130   55300   5400     8.86e+01    4.31e+01   -1.44e+00    9.86e+01
2010 04 14  0131   55300   5460     8.85e+01    4.31e+01   -1.45e+00    9.84e+01
2010 04 14  0132   55300   5520     8.84e+01    4.31e+01   -1.45e+00    9.83e+01
2010 04 14  0133   55300   5580     8.82e+01    4.31e+01   -1.43e+00    9.82e+01
2010 04 14  0134   55300   5640     8.82e+01    4.31e+01   -1.42e+00    9.81e+01
2010 04 14  0135   55300   5700     8.81e+01    4.31e+01   -1.42e+00    9.81e+01
2010 04 14  0136   55300   5760     8.80e+01    4.32e+01   -1.41e+00    9.80e+01
2010 04 14  0137   55300   5820     8.78e+01    4.31e+01   -1.40e+00    9.79e+01
2010 04 14  0138   55300   5880     8.78e+01    4.31e+01   -1.40e+00    9.78e+01
2010 04 14  0139   55300   5940     8.78e+01    4.31e+01   -1.33e+00    9.78e+01
2010 04 14  0140   55300   6000     8.77e+01    4.32e+01   -1.30e+00    9.77e+01
2010 04 14  0141   55300   6060     8.76e+01    4.32e+01   -1.27e+00    9.77e+01
2010 04 14  0142   55300   6120     8.75e+01    4.33e+01   -1.22e+00    9.76e+01
2010 04 14  0143   55300   6180     8.74e+01    4.33e+01   -1.18e+00    9.76e+01
2010 04 14  0144   55300   6240     8.74e+01    4.34e+01   -1.18e+00    9.75e+01
2010 04 14  0145   55300   6300     8.72e+01    4.35e+01   -1.11e+00    9.75e+01
2010 04 14  0146   55300   6360     8.71e+01    4.37e+01   -1.10e+00    9.74e+01
2010 04 14  0147   55300   6420     8.69e+01    4.38e+01   -1.08e+00    9.74e+01
2010 04 14  0148   55300   6480     8.68e+01    4.40e+01   -1.13e+00    9.74e+01
2010 04 14  0149   55300   6540     8.66e+01    4.42e+01   -1.15e+00    9.72e+01
2010 04 14  0150   55300   6600     8.64e+01    4.43e+01   -1.17e+00    9.71e+01
2010 04 14  0151   55300   6660     8.62e+01    4.45e+01   -1.19e+00    9.70e+01
2010 04 14  0152   55300   6720     8.60e+01    4.47e+01   -1.21e+00    9.69e+01
2010 04 14  0153   55300   6780     8.58e+01    4.49e+01   -1.25e+00    9.69e+01
2010 04 14  0154   55300   6840     8.57e+01    4.50e+01   -1.37e+00    9.68e+01
2010 04 14  0155   55300   6900     8.56e+01    4.50e+01   -1.38e+00    9.67e+01
2010 04 14  0156   55300   6960     8.54e+01    4.51e+01   -1.36e+00    9.66e+01
2010 04 14  0157   55300   7020     8.53e+01    4.50e+01   -1.30e+00    9.65e+01
2010 04 14  0158   55300   7080     8.51e+01    4.49e+01   -1.30e+00    9.63e+01
2010 04 14  0159   55300   7140     8.52e+01    4.49e+01   -1.26e+00    9.63e+01
2010 04 14  0200   55300   7200     8.50e+01    4.48e+01   -1.28e+00    9.61e+01
2010 04 14  0201   55300   7260     8.49e+01    4.48e+01   -1.26e+00    9.60e+01
2010 04 14  0202   55300   7320     8.47e+01    4.49e+01   -1.25e+00    9.59e+01
2010 04 14  0203   55300   7380     8.46e+01    4.48e+01   -1.26e+00    9.57e+01
2010 04 14  0204   55300   7440     8.45e+01    4.49e+01   -1.21e+00    9.58e+01
2010 04 14  0205   55300   7500     8.44e+01    4.52e+01   -1.25e+00    9.58e+01
2010 04 14  0206   55300   7560     8.44e+01    4.53e+01   -1.22e+00    9.58e+01
2010 04 14  0207   55300   7620     8.44e+01    4.53e+01   -1.20e+00    9.58e+01
2010 04 14  0208   55300   7680     8.44e+01    4.52e+01   -1.13e+00    9.58e+01
2010 04 14  0209   55300   7740     8.46e+01    4.50e+01   -9.64e-01    9.58e+01
2010 04 14  0210   55300   7800     8.45e+01    4.46e+01   -3.74e-01    9.56e+01
2010 04 14  0211   55300   7860     8.49e+01    4.43e+01   -9.51e-02    9.57e+01
2010 04 14  0212   55300   7920     8.53e+01    4.40e+01    7.53e-01    9.60e+01
2010 04 14  0213   55300   7980     8.55e+01    4.38e+01    1.12e+00    9.61e+01
2010 04 14  0214   55300   8040     8.61e+01    4.32e+01    1.34e+00    9.63e+01
2010 04 14  0215   55300   8100     8.63e+01    4.31e+01    1.92e+00    9.65e+01
2010 04 14  0216   55300   8160     8.66e+01    4.28e+01    1.85e+00    9.66e+01
2010 04 14  0217   55300   8220     8.67e+01    4.27e+01    1.82e+00    9.66e+01
2010 04 14  0218   55300   8280     8.64e+01    4.25e+01    1.93e+00    9.63e+01
2010 04 14  0219   55300   8340     8.61e+01    4.26e+01    1.64e+00    9.61e+01
2010 04 14  0220   55300   8400     8.58e+01    4.26e+01    1.46e+00    9.58e+01
2010 04 14  0221   55300   8460     8.53e+01    4.28e+01    1.32e+00    9.55e+01
2010 04 14  0222   55300   8520     8.47e+01    4.28e+01    1.26e+00    9.49e+01
2010 04 14  0223   55300   8580     8.38e+01    4.30e+01    1.40e+00    9.42e+01
2010 04 14  0224   55300   8640     8.36e+01    4.31e+01    1.14e+00    9.41e+01
2010 04 14  0225   55300   8700     8.37e+01    4.33e+01    1.33e+00    9.43e+01
2010 04 14  0226   55300   8760     8.34e+01    4.33e+01    1.25e+00    9.40e+01
2010 04 14  0227   55300   8820     8.38e+01    4.37e+01    1.12e+00    9.45e+01
2010 04 14  0228   55300   8880     8.39e+01    4.37e+01    8.76e-01    9.46e+01
2010 04 14  0229   55300   8940     8.40e+01    4.36e+01    8.64e-01    9.47e+01
2010 04 14  0230   55300   9000     8.38e+01    4.34e+01    5.96e-01    9.44e+01
2010 04 14  0231   55300   9060     8.38e+01    4.36e+01    6.79e-01    9.45e+01
2010 04 14  0232   55300   9120     8.33e+01    4.33e+01    7.58e-01    9.39e+01
2010 04 14  0233   55300   9180     8.33e+01    4.34e+01    7.56e-01    9.39e+01
2010 04 14  0234   55300   9240     8.28e+01    4.33e+01    7.18e-01    9.34e+01
2010 04 14  0235   55300   9300     8.25e+01    4.31e+01    4.52e-01    9.31e+01
2010 04 14  0236   55300   9360     8.27e+01    4.32e+01    2.66e-01    9.33e+01
2010 04 14  0237   55300   9420     8.28e+01    4.34e+01    2.36e-01    9.35e+01
2010 04 14  0238   55300   9480     8.27e+01    4.35e+01    2.83e-01    9.34e+01
2010 04 14  0239   55300   9540     8.26e+01    4.34e+01    8.70e-02    9.33e+01
2010 04 14  0240   55300   9600     8.24e+01    4.32e+01    3.04e-02    9.31e+01
2010 04 14  0241   55300   9660     8.23e+01    4.31e+01   -2.83e-02    9.29e+01
2010 04 14  0242   55300   9720     8.21e+01    4.32e+01   -2.01e-02    9.28e+01
2010 04 14  0243   55300   9780     8.21e+01    4.34e+01   -1.37e-01    9.29e+01
2010 04 14  0244   55300   9840     8.22e+01    4.37e+01   -1.73e-01    9.31e+01
2010 04 14  0245   55300   9900     8.22e+01    4.39e+01   -1.93e-01    9.32e+01
2010 04 14  0246   55300   9960     8.19e+01    4.41e+01   -1.47e-01    9.30e+01
2010 04 14  0247   55300  10020     8.20e+01    4.43e+01    5.81e-02    9.32e+01
2010 04 14  0248   55300  10080     8.23e+01    4.46e+01    1.03e-01    9.35e+01
2010 04 14  0249   55300  10140     8.21e+01    4.46e+01    7.43e-02    9.34e+01
2010 04 14  0250   55300  10200     8.19e+01    4.49e+01    1.18e-01    9.35e+01
2010 04 14  0251   55300  10260     8.19e+01    4.50e+01    2.83e-01    9.34e+01
2010 04 14  0252   55300  10320     8.19e+01    4.51e+01    4.12e-01    9.35e+01
2010 04 14  0253   55300  10380     8.18e+01    4.50e+01    5.70e-01    9.34e+01
2010 04 14  0254   55300  10440     8.17e+01    4.50e+01    7.34e-01    9.33e+01
2010 04 14  0255   55300  10500     8.18e+01    4.50e+01    7.98e-01    9.33e+01
2010 04 14  0256   55300  10560     8.16e+01    4.52e+01    6.84e-01    9.33e+01
2010 04 14  0257   55300  10620     8.16e+01    4.54e+01    4.64e-01    9.33e+01
2010 04 14  0258   55300  10680     8.14e+01    4.57e+01    4.55e-01    9.33e+01
2010 04 14  0259   55300  10740     8.12e+01    4.58e+01    6.30e-01    9.32e+01
2010 04 14  0300   55300  10800     8.11e+01    4.57e+01    7.25e-01    9.31e+01
2010 04 14  0301   55300  10860     8.10e+01    4.57e+01    8.27e-01    9.30e+01
2010 04 14  0302   55300  10920     8.07e+01    4.59e+01    7.87e-01    9.28e+01
2010 04 14  0303   55300  10980     8.05e+01    4.59e+01    9.48e-01    9.27e+01
2010 04 14  0304   55300  11040     8.04e+01    4.60e+01    1.05e+00    9.26e+01
2010 04 14  0305   55300  11100     8.01e+01    4.61e+01    1.16e+00    9.25e+01
2010 04 14  0306   55300  11160     7.98e+01    4.61e+01    1.04e+00    9.22e+01
2010 04 14  0307   55300  11220     7.96e+01    4.62e+01    9.99e-01    9.21e+01
2010 04 14  0308   55300  11280     7.97e+01    4.63e+01    9.72e-01    9.21e+01
2010 04 14  0309   55300  11340     7.94e+01    4.64e+01    8.98e-01    9.20e+01
2010 04 14  0310   55300  11400     7.93e+01    4.65e+01    8.52e-01    9.19e+01
2010 04 14  0311   55300  11460     7.92e+01    4.66e+01    7.05e-01    9.19e+01
2010 04 14  0312   55300  11520     7.88e+01    4.66e+01    6.99e-01    9.16e+01
2010 04 14  0313   55300  11580     7.87e+01    4.68e+01    7.03e-01    9.16e+01
2010 04 14  0314   55300  11640     7.88e+01    4.68e+01    7.13e-01    9.16e+01
2010 04 14  0315   55300  11700     7.87e+01    4.67e+01    8.15e-01    9.15e+01
2010 04 14  0316   55300  11760     7.82e+01    4.68e+01    8.78e-01    9.11e+01
2010 04 14  0317   55300  11820     7.82e+01    4.68e+01    8.96e-01    9.11e+01
2010 04 14  0318   55300  11880     7.80e+01    4.66e+01    1.12e+00    9.09e+01
2010 04 14  0319   55300  11940     7.79e+01    4.66e+01    1.14e+00    9.08e+01
2010 04 14  0320   55300  12000     7.79e+01    4.66e+01    1.18e+00    9.08e+01
2010 04 14  0321   55300  12060     7.78e+01    4.65e+01    1.32e+00    9.06e+01
2010 04 14  0322   55300  12120     7.79e+01    4.64e+01    1.43e+00    9.07e+01
2010 04 14  0323   55300  12180     7.80e+01    4.64e+01    1.49e+00    9.08e+01
2010 04 14  0324   55300  12240     7.81e+01    4.64e+01    1.44e+00    9.08e+01
2010 04 14  0325   55300  12300     7.77e+01    4.62e+01    1.36e+00    9.04e+01
2010 04 14  0326   55300  12360     7.77e+01    4.62e+01    1.23e+00    9.04e+01
2010 04 14  0327   55300  12420     7.76e+01    4.63e+01    1.27e+00    9.04e+01
2010 04 14  0328   55300  12480     7.73e+01    4.65e+01    1.28e+00    9.02e+01
2010 04 14  0329   55300  12540     7.70e+01    4.67e+01    1.29e+00    9.01e+01
2010 04 14  0330   55300  12600     7.68e+01    4.66e+01    1.54e+00    8.99e+01
2010 04 14  0331   55300  12660     7.67e+01    4.67e+01    1.71e+00    8.98e+01
2010 04 14  0332   55300  12720     7.66e+01    4.67e+01    1.68e+00    8.98e+01
2010 04 14  0333   55300  12780     7.65e+01    4.69e+01    1.78e+00    8.98e+01
2010 04 14  0334   55300  12840     7.64e+01    4.68e+01    1.91e+00    8.96e+01
2010 04 14  0335   55300  12900     7.63e+01    4.67e+01    2.05e+00    8.95e+01
2010 04 14  0336   55300  12960     7.60e+01    4.66e+01    2.00e+00    8.91e+01
2010 04 14  0337   55300  13020     7.59e+01    4.69e+01    2.01e+00    8.93e+01
2010 04 14  0338   55300  13080     7.59e+01    4.70e+01    1.99e+00    8.93e+01
2010 04 14  0339   55300  13140     7.59e+01    4.73e+01    1.97e+00    8.94e+01
2010 04 14  0340   55300  13200     7.59e+01    4.74e+01    2.00e+00    8.95e+01
2010 04 14  0341   55300  13260     7.57e+01    4.74e+01    2.00e+00    8.94e+01
2010 04 14  0342   55300  13320     7.53e+01    4.75e+01    2.06e+00    8.91e+01
2010 04 14  0343   55300  13380     7.51e+01    4.76e+01    2.15e+00    8.89e+01
2010 04 14  0344   55300  13440     7.50e+01    4.76e+01    2.16e+00    8.89e+01
2010 04 14  0345   55300  13500     7.48e+01    4.79e+01    2.17e+00    8.89e+01
2010 04 14  0346   55300  13560     7.46e+01    4.82e+01    2.13e+00    8.88e+01
2010 04 14  0347   55300  13620     7.44e+01    4.83e+01    2.08e+00    8.88e+01
2010 04 14  0348   55300  13680     7.41e+01    4.83e+01    2.09e+00    8.85e+01
2010 04 14  0349   55300  13740     7.37e+01    4.83e+01    2.20e+00    8.81e+01
2010 04 14  0350   55300  13800     7.31e+01    4.82e+01    2.34e+00    8.76e+01
2010 04 14  0351   55300  13860     7.26e+01    4.80e+01    2.45e+00    8.71e+01
2010 04 14  0352   55300  13920     7.24e+01    4.82e+01    2.54e+00    8.70e+01
2010 04 14  0353   55300  13980     7.21e+01    4.84e+01    2.54e+00    8.69e+01
2010 04 14  0354   55300  14040     7.18e+01    4.84e+01    2.62e+00    8.66e+01
2010 04 14  0355   55300  14100     7.16e+01    4.84e+01    2.62e+00    8.65e+01
2010 04 14  0356   55300  14160     7.12e+01    4.84e+01    2.81e+00    8.62e+01
2010 04 14  0357   55300  14220     7.11e+01    4.83e+01    2.85e+00    8.60e+01
2010 04 14  0358   55300  14280     7.07e+01    4.83e+01    2.72e+00    8.57e+01
2010 04 14  0359   55300  14340     7.06e+01    4.85e+01    2.67e+00    8.57e+01
2010 04 14  0400   55300  14400     7.04e+01    4.85e+01    2.62e+00    8.55e+01
2010 04 14  0401   55300  14460     7.05e+01    4.83e+01    2.56e+00    8.55e+01
2010 04 14  0402   55300  14520     7.04e+01    4.85e+01    2.20e+00    8.55e+01
2010 04 14  0403   55300  14580     7.01e+01    4.86e+01    2.22e+00    8.53e+01
2010 04 14  0404   55300  14640     7.03e+01    4.82e+01    2.17e+00    8.52e+01
2010 04 14  0405   55300  14700     7.02e+01    4.83e+01    2.13e+00    8.53e+01
2010 04 14  0406   55300  14760     7.02e+01    4.87e+01    2.01e+00    8.55e+01
2010 04 14  0407   55300  14820     7.02e+01    4.90e+01    2.02e+00    8.57e+01
2010 04 14  0408   55300  14880     7.02e+01    4.90e+01    1.86e+00    8.56e+01
2010 04 14  0409   55300  14940     6.98e+01    4.89e+01    1.60e+00    8.52e+01
2010 04 14  0410   55300  15000     6.98e+01    4.85e+01    1.58e+00    8.50e+01
2010 04 14  0411   55300  15060     7.00e+01    4.84e+01    1.64e+00    8.51e+01
2010 04 14  0412   55300  15120     7.00e+01    4.79e+01    1.57e+00    8.49e+01
2010 04 14  0413   55300  15180     7.03e+01    4.77e+01    1.46e+00    8.49e+01
2010 04 14  0414   55300  15240     7.01e+01    4.76e+01    1.36e+00    8.47e+01
2010 04 14  0415   55300  15300     7.02e+01    4.72e+01    1.11e+00    8.46e+01
2010 04 14  0416   55300  15360     7.05e+01    4.69e+01    1.32e+00    8.47e+01
2010 04 14  0417   55300  15420     7.08e+01    4.66e+01    1.21e+00    8.48e+01
2010 04 14  0418   55300  15480     7.10e+01    4.66e+01    1.23e+00    8.50e+01
2010 04 14  0419   55300  15540     7.14e+01    4.65e+01    1.28e+00    8.52e+01
2010 04 14  0420   55300  15600     7.18e+01    4.62e+01    1.38e+00    8.54e+01
2010 04 14  0421   55300  15660     7.15e+01    4.63e+01    1.69e+00    8.52e+01
2010 04 14  0422   55300  15720     7.15e+01    4.62e+01    2.00e+00    8.52e+01
2010 04 14  0423   55300  15780     7.17e+01    4.65e+01    2.14e+00    8.55e+01
2010 04 14  0424   55300  15840     7.19e+01    4.65e+01    2.25e+00    8.56e+01
2010 04 14  0425   55300  15900     7.22e+01    4.66e+01    2.31e+00    8.60e+01
2010 04 14  0426   55300  15960     7.27e+01    4.65e+01    2.37e+00    8.63e+01
2010 04 14  0427   55300  16020     7.29e+01    4.66e+01    2.51e+00    8.65e+01
2010 04 14  0428   55300  16080     7.32e+01    4.68e+01    2.49e+00    8.69e+01
2010 04 14  0429   55300  16140     7.32e+01    4.70e+01    2.46e+00    8.70e+01
2010 04 14  0430   55300  16200     7.34e+01    4.73e+01    2.38e+00    8.74e+01
2010 04 14  0431   55300  16260     7.34e+01    4.75e+01    2.59e+00    8.75e+01
2010 04 14  0432   55300  16320     7.34e+01    4.77e+01    2.58e+00    8.76e+01
2010 04 14  0433   55300  16380     7.34e+01    4.78e+01    2.55e+00    8.76e+01
2010 04 14  0434   55300  16440     7.34e+01    4.77e+01    2.52e+00    8.76e+01
2010 04 14  0435   55300  16500     7.35e+01    4.78e+01    2.64e+00    8.77e+01
2010 04 14  0436   55300  16560     7.37e+01    4.79e+01    2.70e+00    8.79e+01
2010 04 14  0437   55300  16620     7.38e+01    4.80e+01    2.61e+00    8.80e+01
2010 04 14  0438   55300  16680     7.37e+01    4.81e+01    2.41e+00    8.81e+01
2010 04 14  0439   55300  16740     7.40e+01    4.82e+01    2.47e+00    8.83e+01
2010 04 14  0440   55300  16800     7.41e+01    4.82e+01    2.47e+00    8.84e+01
2010 04 14  0441   55300  16860     7.42e+01    4.82e+01    2.31e+00    8.85e+01
2010 04 14  0442   55300  16920     7.43e+01    4.82e+01    2.06e+00    8.86e+01
2010 04 14  0443   55300  16980     7.44e+01    4.81e+01    1.99e+00    8.86e+01
2010 04 14  0444   55300  17040     7.44e+01    4.81e+01    1.89e+00    8.86e+01
2010 04 14  0445   55300  17100     7.45e+01    4.80e+01    1.69e+00    8.87e+01
2010 04 14  0446   55300  17160     7.46e+01    4.81e+01    1.77e+00    8.88e+01
2010 04 14  0447   55300  17220     7.48e+01    4.79e+01    1.58e+00    8.88e+01
2010 04 14  0448   55300  17280     7.48e+01    4.80e+01    1.43e+00    8.89e+01
2010 04 14  0449   55300  17340     7.49e+01    4.81e+01    1.52e+00    8.90e+01
2010 04 14  0450   55300  17400     7.49e+01    4.81e+01    1.42e+00    8.90e+01
2010 04 14  0451   55300  17460     7.50e+01    4.80e+01    1.35e+00    8.91e+01
2010 04 14  0452   55300  17520     7.51e+01    4.78e+01    1.34e+00    8.91e+01
2010 04 14  0453   55300  17580     7.51e+01    4.79e+01    1.27e+00    8.91e+01
2010 04 14  0454   55300  17640     7.51e+01    4.78e+01    1.28e+00    8.91e+01
2010 04 14  0455   55300  17700     7.51e+01    4.77e+01    1.31e+00    8.89e+01
2010 04 14  0456   55300  17760     7.51e+01    4.77e+01    1.28e+00    8.89e+01
2010 04 14  0457   55300  17820     7.52e+01    4.78e+01    1.22e+00    8.91e+01
