#Aurora Hemispheric Power Tabular Values
# Product: Ovation Aurora Short Term Forecast    http://services.swpc.noaa.gov/text/aurora-nowcast-hemi-power.txt
# Timestamp is the valid time of a 30 minute forecast
# This file contains data for 2023-07-13
#
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.CustomerSupport@noaa.gov
#
# Missing Data:  (n/a)
# Cadence:   5 minutes
#
# Tabular Data Format
#
# Observation        Forecast            North-Hemispheric-Power-Index    South-Hemispheric-Power-Index-GigaWatts
# YYYY-MM-DD_HH:MM   YYYY-MM-DD_HH:MM    GigaWatts    			  GigaWatts
#------------------------------------------------------------------------------------------------
2023-07-13_02:50    2023-07-13_04:13      11      11
2023-07-13_02:55    2023-07-13_04:18      11      11
2023-07-13_03:00    2023-07-13_04:23      11      11
2023-07-13_03:05    2023-07-13_04:28      11      11
2023-07-13_03:10    2023-07-13_04:33      11      10
2023-07-13_03:15    2023-07-13_04:38      10      10
2023-07-13_03:20    2023-07-13_04:43      10      10
2023-07-13_03:25    2023-07-13_04:48      10      10
2023-07-13_03:30    2023-07-13_04:53      10      10
2023-07-13_03:35    2023-07-13_04:58      10      10
2023-07-13_03:40    2023-07-13_05:03      10      10
2023-07-13_03:45    2023-07-13_05:09      10      10
2023-07-13_03:50    2023-07-13_05:14      10      10
2023-07-13_03:55    2023-07-13_05:19      10      10
2023-07-13_04:00    2023-07-13_05:24      10      10
2023-07-13_04:05    2023-07-13_05:29      10      10
2023-07-13_04:10    2023-07-13_05:35      10      10
2023-07-13_04:15    2023-07-13_05:40      10      10
2023-07-13_04:20    2023-07-13_05:45      10      10
2023-07-13_05:50    2023-07-13_07:12      13      13
2023-07-13_05:55    2023-07-13_07:17      13      13
2023-07-13_06:00    2023-07-13_07:22      13      13
2023-07-13_06:05    2023-07-13_07:27      13      13
2023-07-13_06:10    2023-07-13_07:32      12      13
2023-07-13_06:15    2023-07-13_07:37      12      13
2023-07-13_06:20    2023-07-13_07:42      12      13
2023-07-13_06:25    2023-07-13_07:47      12      13
2023-07-13_06:30    2023-07-13_07:52      12      13
2023-07-13_06:35    2023-07-13_07:57      12      13
2023-07-13_06:40    2023-07-13_08:02      12      13
2023-07-13_06:45    2023-07-13_08:07      12      13
2023-07-13_06:50    2023-07-13_08:12      12      13
2023-07-13_06:55    2023-07-13_08:17      12      12
2023-07-13_07:00    2023-07-13_08:22      12      12
2023-07-13_07:05    2023-07-13_08:27      12      12
2023-07-13_07:10    2023-07-13_08:32      12      12
2023-07-13_07:15    2023-07-13_08:37      12      12
2023-07-13_07:20    2023-07-13_08:41      12      13
2023-07-13_07:25    2023-07-13_08:46      12      13
2023-07-13_07:30    2023-07-13_08:51      13      13
2023-07-13_07:35    2023-07-13_08:56      13      13
2023-07-13_07:40    2023-07-13_09:01      13      13
2023-07-13_07:45    2023-07-13_09:06      13      13
2023-07-13_07:50    2023-07-13_09:11      13      13
2023-07-13_07:55    2023-07-13_09:16      13      14
2023-07-13_08:00    2023-07-13_09:21      13      14
2023-07-13_08:05    2023-07-13_09:26      13      13
2023-07-13_08:10    2023-07-13_09:31      13      13
2023-07-13_08:15    2023-07-13_09:36      13      13
2023-07-13_08:20    2023-07-13_09:41      13      13
2023-07-13_08:25    2023-07-13_09:46      13      13
2023-07-13_08:30    2023-07-13_09:51      13      13
2023-07-13_08:35    2023-07-13_09:56      13      13
2023-07-13_08:40    2023-07-13_10:01      13      13
2023-07-13_08:45    2023-07-13_10:06      13      14
2023-07-13_08:50    2023-07-13_10:11      13      14
2023-07-13_08:55    2023-07-13_10:16      13      14
2023-07-13_09:00    2023-07-13_10:21      14      14
2023-07-13_09:05    2023-07-13_10:26      14      14
2023-07-13_09:10    2023-07-13_10:31      14      14
2023-07-13_09:15    2023-07-13_10:36      14      14
2023-07-13_09:20    2023-07-13_10:41      14      14
2023-07-13_09:25    2023-07-13_10:47      13      14
2023-07-13_09:30    2023-07-13_10:52      13      14
2023-07-13_09:35    2023-07-13_10:57      13      13
2023-07-13_09:40    2023-07-13_11:02      13      13
2023-07-13_09:45    2023-07-13_11:07      13      13
2023-07-13_09:50    2023-07-13_11:12      12      13
2023-07-13_09:55    2023-07-13_11:17      12      13
2023-07-13_10:00    2023-07-13_11:22      12      13
2023-07-13_10:05    2023-07-13_11:27      12      13
2023-07-13_10:10    2023-07-13_11:32      12      13
2023-07-13_10:15    2023-07-13_11:37      12      13
2023-07-13_10:20    2023-07-13_11:42      12      12
2023-07-13_10:25    2023-07-13_11:46      12      12
2023-07-13_10:30    2023-07-13_11:51      12      12
2023-07-13_10:35    2023-07-13_11:56      12      12
2023-07-13_10:40    2023-07-13_12:01      12      12
2023-07-13_10:45    2023-07-13_12:06      12      12
2023-07-13_10:50    2023-07-13_12:11      12      12
2023-07-13_10:55    2023-07-13_12:16      12      12
2023-07-13_11:00    2023-07-13_12:21      12      12
2023-07-13_11:05    2023-07-13_12:26      12      12
2023-07-13_11:10    2023-07-13_12:31      12      12
2023-07-13_11:15    2023-07-13_12:36      12      12
2023-07-13_11:20    2023-07-13_12:41      12      12
2023-07-13_11:25    2023-07-13_12:46      12      12
2023-07-13_11:30    2023-07-13_12:51      12      12
2023-07-13_11:35    2023-07-13_12:56      12      12
2023-07-13_11:40    2023-07-13_13:01      11      12
2023-07-13_11:45    2023-07-13_13:06      11      12
2023-07-13_11:50    2023-07-13_13:11      11      11
2023-07-13_11:55    2023-07-13_13:16      11      11
2023-07-13_12:00    2023-07-13_13:21      11      11
2023-07-13_12:05    2023-07-13_13:26      11      11
2023-07-13_12:10    2023-07-13_13:31      11      11
2023-07-13_12:15    2023-07-13_13:36      11      11
2023-07-13_12:20    2023-07-13_13:41      11      11
2023-07-13_12:25    2023-07-13_13:46      11      11
2023-07-13_12:30    2023-07-13_13:51      11      11
2023-07-13_12:35    2023-07-13_13:56      11      11
2023-07-13_12:40    2023-07-13_14:01      11      11
2023-07-13_12:45    2023-07-13_14:07      11      11
2023-07-13_12:50    2023-07-13_14:12      11      11
2023-07-13_12:55    2023-07-13_14:17      11      10
2023-07-13_13:00    2023-07-13_14:22      11      10
2023-07-13_13:05    2023-07-13_14:27      11      10
2023-07-13_13:10    2023-07-13_14:32      11      10
2023-07-13_13:15    2023-07-13_14:37      11      10
2023-07-13_13:20    2023-07-13_14:42      11      10
2023-07-13_13:25    2023-07-13_14:47      11      10
2023-07-13_13:30    2023-07-13_14:52      11      10
2023-07-13_13:35    2023-07-13_14:57      11      10
2023-07-13_13:40    2023-07-13_15:02      11      10
2023-07-13_13:45    2023-07-13_15:07      10      10
2023-07-13_13:50    2023-07-13_15:12      10      10
2023-07-13_13:55    2023-07-13_15:17      10      10
2023-07-13_14:00    2023-07-13_15:22      10      10
2023-07-13_14:05    2023-07-13_15:27      10      10
2023-07-13_14:10    2023-07-13_15:32      10      10
2023-07-13_14:15    2023-07-13_15:37      10      10
2023-07-13_14:20    2023-07-13_15:42      10      10
2023-07-13_14:25    2023-07-13_15:46      10      10
2023-07-13_14:30    2023-07-13_15:51      10      10
2023-07-13_14:35    2023-07-13_15:56      10      10
2023-07-13_14:40    2023-07-13_16:00      10      10
2023-07-13_14:45    2023-07-13_16:05      10      10
2023-07-13_14:50    2023-07-13_16:10      10      10
2023-07-13_14:55    2023-07-13_16:14      10      10
2023-07-13_15:00    2023-07-13_16:19      10      10
2023-07-13_15:05    2023-07-13_16:24      10      10
2023-07-13_15:10    2023-07-13_16:29      10      10
2023-07-13_15:15    2023-07-13_16:34      11      10
2023-07-13_15:20    2023-07-13_16:40      11      11
2023-07-13_15:25    2023-07-13_16:45      11      11
2023-07-13_15:30    2023-07-13_16:50      11      11
2023-07-13_15:35    2023-07-13_16:55      11      11
2023-07-13_15:40    2023-07-13_17:00      11      11
2023-07-13_15:45    2023-07-13_17:05      11      11
2023-07-13_15:50    2023-07-13_17:10      11      11
2023-07-13_15:55    2023-07-13_17:15      11      11
2023-07-13_16:00    2023-07-13_17:20      11      11
2023-07-13_16:05    2023-07-13_17:25      11      11
2023-07-13_16:10    2023-07-13_17:30      11      10
2023-07-13_16:15    2023-07-13_17:36      11      11
2023-07-13_16:20    2023-07-13_17:41      11      11
2023-07-13_16:25    2023-07-13_17:46      11      11
2023-07-13_16:30    2023-07-13_17:50      11      11
2023-07-13_16:35    2023-07-13_17:55      11      11
2023-07-13_16:40    2023-07-13_18:01      11      11
2023-07-13_16:45    2023-07-13_18:06      11      11
2023-07-13_16:50    2023-07-13_18:11      12      12
2023-07-13_16:55    2023-07-13_18:16      12      13
2023-07-13_17:00    2023-07-13_18:21      13      14
2023-07-13_17:05    2023-07-13_18:26      14      15
2023-07-13_17:10    2023-07-13_18:31      14      15
2023-07-13_17:15    2023-07-13_18:36      14      15
2023-07-13_17:20    2023-07-13_18:41      14      15
2023-07-13_17:25    2023-07-13_18:46      15      16
2023-07-13_17:30    2023-07-13_18:51      15      16
2023-07-13_17:35    2023-07-13_18:56      15      15
2023-07-13_17:40    2023-07-13_19:01      14      15
2023-07-13_17:45    2023-07-13_19:06      14      14
2023-07-13_17:50    2023-07-13_19:11      14      14
2023-07-13_17:55    2023-07-13_19:16      13      14
2023-07-13_18:00    2023-07-13_19:21      14      14
2023-07-13_18:05    2023-07-13_19:26      14      15
2023-07-13_18:10    2023-07-13_19:31      14      15
2023-07-13_18:15    2023-07-13_19:35      14      15
2023-07-13_18:20    2023-07-13_19:40      14      15
2023-07-13_18:25    2023-07-13_19:45      14      14
2023-07-13_18:30    2023-07-13_19:50      13      14
2023-07-13_18:35    2023-07-13_19:55      13      13
2023-07-13_18:40    2023-07-13_20:00      12      13
2023-07-13_18:45    2023-07-13_20:05      12      12
2023-07-13_18:50    2023-07-13_20:09      12      12
2023-07-13_18:55    2023-07-13_20:14      12      12
2023-07-13_19:00    2023-07-13_20:18      12      12
2023-07-13_19:05    2023-07-13_20:23      12      12
2023-07-13_19:10    2023-07-13_20:27      12      12
2023-07-13_19:15    2023-07-13_20:32      12      12
2023-07-13_19:20    2023-07-13_20:36      12      12
2023-07-13_19:25    2023-07-13_20:41      12      12
2023-07-13_19:30    2023-07-13_20:45      12      12
2023-07-13_19:35    2023-07-13_20:50      11      12
2023-07-13_19:40    2023-07-13_20:54      11      11
2023-07-13_19:45    2023-07-13_20:59      11      11
2023-07-13_19:50    2023-07-13_21:03      11      11
2023-07-13_19:55    2023-07-13_21:08      11      11
2023-07-13_20:00    2023-07-13_21:13      11      12
2023-07-13_20:05    2023-07-13_21:18      12      12
2023-07-13_20:10    2023-07-13_21:23      12      12
2023-07-13_20:15    2023-07-13_21:28      12      12
2023-07-13_20:20    2023-07-13_21:33      12      12
2023-07-13_20:25    2023-07-13_21:38      12      13
2023-07-13_20:30    2023-07-13_21:43      13      13
2023-07-13_20:35    2023-07-13_21:48      13      13
2023-07-13_20:40    2023-07-13_21:53      13      13
2023-07-13_20:45    2023-07-13_21:57      13      13
2023-07-13_20:50    2023-07-13_22:02      12      13
2023-07-13_20:55    2023-07-13_22:07      12      13
2023-07-13_21:00    2023-07-13_22:12      12      12
2023-07-13_21:05    2023-07-13_22:17      12      12
2023-07-13_21:10    2023-07-13_22:22      12      12
2023-07-13_21:15    2023-07-13_22:27      12      13
2023-07-13_21:20    2023-07-13_22:32      12      13
2023-07-13_21:25    2023-07-13_22:37      12      13
2023-07-13_21:30    2023-07-13_22:42      13      13
2023-07-13_21:35    2023-07-13_22:47      13      13
2023-07-13_21:40    2023-07-13_22:53      13      13
2023-07-13_21:45    2023-07-13_22:58      13      14
2023-07-13_21:50    2023-07-13_23:03      13      14
2023-07-13_21:55    2023-07-13_23:08      14      14
2023-07-13_22:00    2023-07-13_23:13      14      15
2023-07-13_22:05    2023-07-13_23:19      14      15
2023-07-13_22:10    2023-07-13_23:24      14      15
2023-07-13_22:15    2023-07-13_23:29      14      15
2023-07-13_22:20    2023-07-13_23:34      15      16
2023-07-13_22:25    2023-07-13_23:40      15      16
2023-07-13_22:30    2023-07-13_23:45      16      17
2023-07-13_22:35    2023-07-13_23:50      16      18
2023-07-13_22:40    2023-07-13_23:55      17      18
2023-07-13_22:45    2023-07-14_00:01      18      19
2023-07-13_22:50    2023-07-14_00:06      18      20
2023-07-13_22:55    2023-07-14_00:11      19      21
2023-07-13_23:00    2023-07-14_00:16      20      22
2023-07-13_23:05    2023-07-14_00:20      21      23
2023-07-13_23:10    2023-07-14_00:25      22      25
2023-07-13_23:15    2023-07-14_00:30      22      25
